article_id,title,user_id
1430,"using pixiedust for fast, flexible, and easier data analysis and experimentation",1
1314,healthcare python streaming application demo,2
1429,use deep learning for image classification,3
1338,ml optimization using cognitive assistant,4
1276,deploy your python model as a restful api,5
1432,visualize data with the matplotlib library,6
1429,use deep learning for image classification,7
593,upload files to ibm data science experience using the command line,8
1314,healthcare python streaming application demo,9
1185,classify tumors with machine learning,10
993,configuring the apache spark sql context,11
14,got zip code data? prep it for analytics. – ibm watson data lab – medium,12
1395,the unit commitment problem,13
1314,healthcare python streaming application demo,4
1170,"apache spark lab, part 1: basic concepts",10
542,getting started with python,14
12,timeseries data analysis of iot events by using jupyter notebook,11
1430,"using pixiedust for fast, flexible, and easier data analysis and experimentation",15
1338,ml optimization using cognitive assistant,16
173,"10 must attend data science, ml and ai conferences in 2018",17
1314,healthcare python streaming application demo,18
1338,ml optimization using cognitive assistant,19
1320,housing (2015): united states demographic measures,20
1052,access db2 warehouse on cloud and db2 with python,14
1432,visualize data with the matplotlib library,18
1393,the nurse assignment problem,21
1338,ml optimization using cognitive assistant,6
593,upload files to ibm data science experience using the command line,22
362,dsx: hybrid mode,23
1364,predicting churn with the spss random tree algorithm,24
194,data science for real-time streaming analytics,6
1162,analyze energy consumption in buildings,25
1324,ibm watson facebook posts for 2015,24
460,web picks - dataminingapps,26
1052,access db2 warehouse on cloud and db2 with python,8
1338,ml optimization using cognitive assistant,27
1432,visualize data with the matplotlib library,15
1431,visualize car data with brunel,28
189,common excel tasks demonstrated in pandas,8
173,"10 must attend data science, ml and ai conferences in 2018",29
1164,analyze open data sets with pandas dataframes,30
1429,use deep learning for image classification,3
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",31
1332,intents & examples for ibm watson conversation,32
1172,"apache spark lab, part 3: machine learning",10
1431,visualize car data with brunel,33
1410,uci: sms spam collection,24
1368,putting a human face on machine learning,34
1305,gosales transactions for naive bayes model,35
1053,access mysql with python,36
1162,analyze energy consumption in buildings,36
1054,access mysql with r,37
173,"10 must attend data science, ml and ai conferences in 2018",9
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",38
349,ibm data science experience white paper - sparkr transforming r into a tool for big data analytics,39
1162,analyze energy consumption in buildings,40
1304,gosales transactions for logistic regression model,41
1436,welcome to pixiedust,41
1393,the nurse assignment problem,13
1395,the unit commitment problem,42
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",6
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",43
316,"leverage python, scikit, and text classification for behavioral profiling",39
1279,"dry bulb temperature, by country, station and year",44
1441,world tourism data by the world tourism organization,45
162,an introduction to stock market data analysis with r (part 1),41
1330,insights from new york car accident reports,32
1343,maximize oil company profits,13
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",46
1070,airbnb data for analytics: austin listings,45
1320,housing (2015): united states demographic measures,47
1184,"city population by sex, city and city type",35
409,using github for project control in dsx,23
1432,visualize data with the matplotlib library,48
1423,use sql with data in hadoop python,49
1429,use deep learning for image classification,7
943,discover hidden facebook usage insights,36
871,overfitting in machine learning: what it is and how to prevent it,50
1314,healthcare python streaming application demo,51
1162,analyze energy consumption in buildings,52
1429,use deep learning for image classification,40
1162,analyze energy consumption in buildings,53
1420,use apache systemml and spark for machine learning,54
844,use the cloudant-spark connector in python notebook,55
1430,"using pixiedust for fast, flexible, and easier data analysis and experimentation",33
1163,analyze open data sets with spark & pixiedust,56
1400,uci ml repository: chronic kidney disease data set,57
1330,insights from new york car accident reports,10
1405,uci: heart disease - cleveland,58
1328,income (2015): united states demographic measures,59
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",51
1395,the unit commitment problem,19
1364,predicting churn with the spss random tree algorithm,6
1314,healthcare python streaming application demo,60
943,discover hidden facebook usage insights,28
